filter completed in 16.119680404663086 s
filter completed in 16.72810435295105 s
IMAGE COMPLETED: 1 of 2
filter completed in 35.63704514503479 s
filter completed in 36.4747998714447 s
IMAGE COMPLETED: 2 of 2
         56298822 function calls (56230494 primitive calls) in 117.719 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12940    0.159    0.000    1.064    0.000 {built-in method builtins.any}
     3069    0.158    0.000    0.158    0.000 {method 'read' of '_io.FileIO' objects}
        4    0.157    0.039  104.960   26.240 quantum_pipe.py:86(conv)
      784    0.154    0.000   77.972    0.099 passmanager.py:257(_run_single_circuit)
   197568    0.153    0.000    0.153    0.000 dagnode.py:72(qargs)
      784    0.149    0.000    0.459    0.001 unroller.py:39(run)
   197568    0.149    0.000    0.149    0.000 dagcircuit.py:264(_bits_in_condition)
   201616    0.145    0.000    0.147    0.000 quantumcircuit.py:649(<genexpr>)
   201616    0.145    0.000    0.160    0.000 quantumcircuit.py:651(<genexpr>)
   197568    0.144    0.000    0.144    0.000 dagcircuit.py:232(_check_condition)
    33572    0.143    0.000    0.286    0.000 inspect.py:2467(__init__)
    53450    0.143    0.000    0.420    0.000 common.py:1565(is_extension_array_dtype)
    14896    0.133    0.000    1.875    0.000 basepasses.py:35(_freeze_init_parameters)
    53473    0.133    0.000    0.216    0.000 dtypes.py:75(find)
    58204    0.133    0.000    0.648    0.000 base.py:247(is_dtype)
        3    0.121    0.040    0.121    0.040 {method 'close' of '_io.BufferedWriter' objects}
      931    0.121    0.000    0.121    0.000 {built-in method posix.listdir}
        3    0.116    0.039    0.116    0.039 {built-in method _posixsubprocess.fork_exec}
    39592    0.108    0.000    0.361    0.000 gate.py:85(assemble)
    47892    0.108    0.000    0.401    0.000 common.py:775(is_integer_dtype)
    14896    0.105    0.000    2.061    0.000 basepasses.py:30(__call__)
    50275    0.099    0.000    0.665    0.000 common.py:542(is_categorical_dtype)
    17654    0.099    0.000    0.189    0.000 inspect.py:2750(__init__)
    51936    0.098    0.000    0.291    0.000 common.py:1708(_is_dtype_type)
     6272    0.097    0.000    0.248    0.000 dagcircuit.py:202(_add_wire)
  213/177    0.094    0.000    0.182    0.001 {built-in method _imp.exec_dynamic}
     7840    0.089    0.000    8.414    0.001 runningpassmanager.py:152(_run_this_pass)
   4705/1    0.085    0.000  117.727  117.727 {built-in method builtins.exec}
    25670    0.085    0.000    0.142    0.000 register.py:106(__getitem__)
    47917    0.085    0.000    0.136    0.000 common.py:216(<lambda>)
     1568    0.077    0.000    3.645    0.002 cx_cancellation.py:23(run)
   115833    0.076    0.000    0.076    0.000 {method 'startswith' of 'str' objects}
    12544    0.073    0.000    0.273    0.000 postprocess.py:48(format_counts_memory)
83515/83489    0.070    0.000    0.150    0.000 {built-in method builtins.next}
     3920    0.069    0.000    0.124    0.000 base.py:127(dump_additional_data)
    34536    0.068    0.000    0.110    0.000 enum.py:284(__call__)
     4571    0.068    0.000    0.546    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     2508    0.066    0.000    0.125    0.000 inspect.py:613(cleandoc)
     1306    0.066    0.000    0.066    0.000 {built-in method builtins.compile}
    50540    0.065    0.000    0.088    0.000 inspect.py:2799(<genexpr>)
    15974    0.064    0.000    0.125    0.000 inspect.py:484(unwrap)
    93104    0.064    0.000    0.064    0.000 inspect.py:2517(name)
 1881/472    0.064    0.000    0.219    0.000 sre_parse.py:469(_parse)
      466    0.061    0.000    0.139    0.000 assumptions.py:334(__init__)
     1611    0.058    0.000    0.058    0.000 {built-in method posix.urandom}
    26149    0.054    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      339    0.054    0.000    0.172    0.001 doccer.py:12(docformat)
    36264    0.052    0.000    0.076    0.000 inspect.py:158(isfunction)
62361/62285    0.052    0.000    0.062    0.000 {method 'join' of 'str' objects}
    26149    0.052    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      927    0.050    0.000    0.100    0.000 instruction.py:137(params)
    71798    0.049    0.000    0.049    0.000 inspect.py:2529(kind)
24940/24868    0.046    0.000    0.089    0.000 logic.py:401(__new__)
     3065    0.046    0.000    1.316    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    24241    0.043    0.000    0.149    0.000 register.py:132(__iter__)
    20395    0.043    0.000    0.043    0.000 {built-in method time.time}
    17248    0.041    0.000    0.092    0.000 retworkx_dagcircuit.py:116(successors)
35197/34954    0.041    0.000    0.059    0.000 logic.py:233(__hash__)
     7840    0.041    0.000    0.066    0.000 runningpassmanager.py:192(_log_pass)
    26656    0.040    0.000    0.058    0.000 transpile.py:371(<genexpr>)
    12544    0.040    0.000    0.058    0.000 postprocess.py:38(_separate_bitstring)
      784    0.039    0.000    2.126    0.003 level1.py:49(level_1_pass_manager)
     7840    0.039    0.000    8.544    0.001 runningpassmanager.py:125(_do_pass)
20941/12069    0.039    0.000    3.583    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    17248    0.037    0.000    0.037    0.000 {method 'successors' of 'retworkx.PyDAG' objects}
     3374    0.036    0.000    0.688    0.000 <frozen importlib._bootstrap>:882(_find_spec)
 3381/442    0.036    0.000    0.104    0.000 sre_compile.py:71(_compile)
    14896    0.036    0.000    0.036    0.000 basepasses.py:54(__init__)
    47917    0.035    0.000    0.035    0.000 common.py:211(classes_and_not_datetimelike)
     6130    0.034    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      358    0.034    0.000    0.065    0.000 doccer.py:179(indentcount_lines)
    12544    0.034    0.000    0.070    0.000 postprocess.py:32(_pad_zeros)
    14896    0.034    0.000    0.547    0.000 inspect.py:3010(bind)
      319    0.033    0.000    0.034    0.000 {built-in method io.open}
     7840    0.033    0.000    0.083    0.000 runningpassmanager.py:197(_update_valid_passes)
    62201    0.032    0.000    0.032    0.000 {method 'rstrip' of 'str' objects}
    15974    0.032    0.000    1.188    0.000 inspect.py:3081(signature)
    12544    0.031    0.000    0.042    0.000 postprocess.py:22(_hex_to_bin)
     7840    0.031    0.000    0.275    0.000 fields.py:287(serialize)
    34518    0.031    0.000    0.032    0.000 enum.py:526(__new__)
3920/2352    0.031    0.000    0.304    0.000 schema.py:501(_serialize)
      784    0.030    0.000   77.756    0.099 runningpassmanager.py:95(run)
        1    0.030    0.030  117.727  117.727 quantum_process.py:7(<module>)
    19792    0.030    0.000    0.044    0.000 {method 'add' of 'set' objects}
    15974    0.029    0.000    1.156    0.000 inspect.py:2829(from_callable)
    13889    0.029    0.000    0.128    0.000 facts.py:206(<genexpr>)
     3283    0.028    0.000    0.136    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
3920/2352    0.028    0.000    0.392    0.000 schema.py:527(dump)
    39592    0.028    0.000    0.028    0.000 gate.py:92(label)
    26116    0.028    0.000    0.047    0.000 sre_parse.py:254(get)
     7840    0.028    0.000    0.159    0.000 schema.py:1192(_invoke_processors)
     4851    0.028    0.000    0.177    0.000 quantumcircuit.py:429(<listcomp>)
    18884    0.027    0.000    0.054    0.000 abc.py:137(__instancecheck__)
    22482    0.027    0.000    0.041    0.000 sre_parse.py:164(__getitem__)
   3455/3    0.027    0.000    6.349    2.116 <frozen importlib._bootstrap>:978(_find_and_load)
     1568    0.027    0.000    0.027    0.000 {is_directed_acyclic_graph}
    35258    0.026    0.000    0.026    0.000 {method 'isidentifier' of 'str' objects}
    42024    0.026    0.000    0.026    0.000 {built-in method builtins.min}
    21024    0.026    0.000    0.026    0.000 {method 'format' of 'str' objects}
