filter completed in 15.936100959777832 s
filter completed in 16.478416919708252 s
         15378121 function calls (15376161 primitive calls) in 32.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    60368    0.043    0.000    0.043    0.000 dagcircuit.py:232(_check_condition)
     3920    0.042    0.000    2.789    0.001 runningpassmanager.py:152(_run_this_pass)
    12544    0.042    0.000    0.070    0.000 register.py:106(__getitem__)
      392    0.041    0.000   22.592    0.058 passmanager.py:257(_run_single_circuit)
     7448    0.040    0.000    0.078    0.000 inspect.py:2750(__init__)
      784    0.038    0.000    1.243    0.002 cx_cancellation.py:23(run)
     6272    0.036    0.000    0.135    0.000 postprocess.py:48(format_counts_memory)
     1960    0.034    0.000    0.061    0.000 base.py:127(dump_additional_data)
    41160    0.034    0.000    0.039    0.000 {built-in method builtins.next}
     7448    0.030    0.000    0.058    0.000 inspect.py:484(unwrap)
    40768    0.029    0.000    0.029    0.000 inspect.py:2517(name)
    21168    0.028    0.000    0.038    0.000 inspect.py:2799(<genexpr>)
    13720    0.028    0.000    0.040    0.000 enum.py:284(__call__)
      784    0.026    0.000    0.026    0.000 {built-in method posix.urandom}
      392    0.024    0.000    0.048    0.000 instruction.py:137(params)
    14896    0.022    0.000    0.032    0.000 inspect.py:158(isfunction)
    30184    0.021    0.000    0.021    0.000 inspect.py:2529(kind)
    10196    0.021    0.000    0.021    0.000 {built-in method time.time}
    11760    0.021    0.000    0.073    0.000 register.py:132(__iter__)
     8624    0.020    0.000    0.046    0.000 retworkx_dagcircuit.py:116(successors)
    13328    0.020    0.000    0.029    0.000 transpile.py:371(<genexpr>)
     6272    0.019    0.000    0.029    0.000 postprocess.py:38(_separate_bitstring)
     3920    0.019    0.000    0.031    0.000 runningpassmanager.py:192(_log_pass)
     3920    0.019    0.000    2.853    0.001 runningpassmanager.py:125(_do_pass)
     8624    0.019    0.000    0.019    0.000 {method 'successors' of 'retworkx.PyDAG' objects}
      392    0.018    0.000    1.034    0.003 level1.py:49(level_1_pass_manager)
    21560    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
     6272    0.017    0.000    0.035    0.000 postprocess.py:32(_pad_zeros)
     7448    0.017    0.000    0.270    0.000 inspect.py:3010(bind)
     3920    0.016    0.000    0.041    0.000 runningpassmanager.py:197(_update_valid_passes)
     7448    0.016    0.000    0.016    0.000 basepasses.py:54(__init__)
     6272    0.015    0.000    0.020    0.000 postprocess.py:22(_hex_to_bin)
    19796    0.015    0.000    0.015    0.000 gate.py:92(label)
     3920    0.015    0.000    0.136    0.000 fields.py:287(serialize)
1960/1176    0.015    0.000    0.151    0.000 schema.py:501(_serialize)
      392    0.015    0.000   22.522    0.057 runningpassmanager.py:95(run)
1960/1176    0.014    0.000    0.194    0.000 schema.py:527(dump)
     7448    0.014    0.000    0.536    0.000 inspect.py:3081(signature)
     3920    0.014    0.000    0.078    0.000 schema.py:1192(_invoke_processors)
     7448    0.014    0.000    0.522    0.000 inspect.py:2829(from_callable)
     2352    0.013    0.000    0.086    0.000 quantumcircuit.py:429(<listcomp>)
     7058    0.013    0.000    0.019    0.000 {method 'add' of 'set' objects}
    13720    0.012    0.000    0.012    0.000 enum.py:526(__new__)
     7448    0.011    0.000    0.017    0.000 inspect.py:504(_is_wrapper)
     7057    0.011    0.000    0.020    0.000 abc.py:137(__instancecheck__)
    13720    0.011    0.000    0.011    0.000 {method 'isidentifier' of 'str' objects}
      392    0.010    0.000   27.474    0.070 execute.py:40(execute)
      392    0.010    0.000    0.042    0.000 assemble.py:166(_parse_common_args)
     6272    0.010    0.000    0.010    0.000 {built-in method builtins.format}
     5096    0.010    0.000    0.016    0.000 __init__.py:1368(info)
     3920    0.010    0.000    0.028    0.000 utils.py:213(get_value)
      392    0.010    0.000    0.074    0.000 transpile.py:310(_parse_transpile_args)
     3920    0.010    0.000    0.048    0.000 fields.py:209(get_value)
     6272    0.010    0.000    0.010    0.000 {method 'item' of 'numpy.generic' objects}
      784    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7057    0.009    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
     1176    0.009    0.000    0.020    0.000 result.py:247(_get_experiment)
     3920    0.009    0.000    0.015    0.000 utils.py:239(_get_value_for_key)
      395    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      392    0.009    0.000   23.777    0.061 transpile.py:42(transpile)
     3528    0.009    0.000    0.018    0.000 runningpassmanager.py:305(__iter__)
      784    0.009    0.000    0.009    0.000 {is_directed_acyclic_graph}
      784    0.009    0.000    0.012    0.000 uuid.py:121(__init__)
     5488    0.008    0.000    0.014    0.000 basepasses.py:90(is_analysis_pass)
      392    0.008    0.000    0.143    0.000 postprocess.py:157(format_counts)
     6272    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
      392    0.008    0.000    3.563    0.009 assemble_circuits.py:113(assemble_circuits)
      392    0.008    0.000    0.066    0.000 initializer.py:44(__init__)
    10977    0.008    0.000    0.008    0.000 {built-in method builtins.callable}
     7448    0.008    0.000    0.008    0.000 {method 'values' of 'mappingproxy' objects}
      392    0.008    0.000   23.638    0.060 transpile.py:255(_transpile_circuit)
     1960    0.007    0.000    0.086    0.000 schema.py:1057(_invoke_dump_processors)
     7840    0.007    0.000    0.007    0.000 basepasses.py:60(__hash__)
      392    0.007    0.000    3.631    0.009 assemble.py:43(assemble)
     7448    0.007    0.000    0.007    0.000 inspect.py:2609(__init__)
     1568    0.007    0.000    0.012    0.000 assemble_circuits.py:75(<listcomp>)
     1960    0.007    0.000    0.659    0.000 retworkx_dagcircuit.py:102(topological_nodes)
      392    0.007    0.000    0.081    0.000 dagcircuit.py:182(add_qreg)
     3920    0.007    0.000    0.035    0.000 schema.py:469(get_attribute)
1568/1176    0.007    0.000    0.012    0.000 runningpassmanager.py:259(controller_factory)
      392    0.006    0.000    0.372    0.001 result.py:160(get_counts)
     3920    0.006    0.000    0.010    0.000 basepasses.py:81(is_transformation_pass)
      392    0.006    0.000    0.016    0.000 quantum_pipe.py:133(shannon_entropy)
      392    0.006    0.000    0.018    0.000 thread.py:145(submit)
     5096    0.006    0.000    0.006    0.000 __init__.py:1614(isEnabledFor)
      784    0.006    0.000    0.031    0.000 <__array_function__ internals>:2(sum)
      784    0.006    0.000    0.006    0.000 {method 'nodes' of 'retworkx.PyDAG' objects}
      784    0.006    0.000   27.192    0.035 parallel.py:72(parallel_map)
     7448    0.006    0.000    0.006    0.000 {built-in method sys.getrecursionlimit}
      784    0.006    0.000    0.013    0.000 fixed_point.py:39(run)
      392    0.006    0.000    0.074    0.000 dagcircuit.py:192(add_creg)
      392    0.006    0.000    0.024    0.000 quantumcircuit.py:137(__init__)
      784    0.006    0.000    0.006    0.000 {built-in method builtins.repr}
     7448    0.006    0.000    0.006    0.000 {method 'items' of 'collections.OrderedDict' objects}
      392    0.006    0.000    0.016    0.000 dagcircuit.py:59(__new__)
      392    0.006    0.000    0.124    0.000 quantumcircuit.py:524(append)
      392    0.006    0.000    0.011    0.000 quantumcircuit.py:605(add_register)
     1960    0.005    0.000    0.664    0.000 dagcircuit.py:735(topological_op_nodes)
     7448    0.005    0.000    0.005    0.000 inspect.py:2835(parameters)
      392    0.005    0.000    0.005    0.000 quantum_pipe.py:123(<listcomp>)
      392    0.005    0.000    4.240    0.011 _base.py:408(result)
     6272    0.005    0.000    0.005    0.000 {built-in method builtins.bin}
     1176    0.005    0.000    0.022    0.000 runningpassmanager.py:61(append)
     1568    0.005    0.000    0.067    0.000 quantumcircuit.py:498(qbit_argument_conversion)
      392    0.005    0.000    0.015    0.000 quantum_pipe.py:113(encoding_function)
     6672    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
